x,year,date,CHW,CHW.pre,CLE,CLE.pre,DET,DET.pre,KCR,KCR.pre,MIN,MIN.pre
1,2010,2010/4/11,25550,52.92046396,42061,100,26081,58.15680328,37505,93.22644792,38145,92.18666924
2,2010,2010/4/20,19260,39.89229495,10071,23.94379592,17058,38.03683718,16605,41.27516779,38164,92.23258737
3,2010,2010/4/21,17023,35.25890638,10198,24.24573833,18414,41.06051822,26649,66.24161074,38341,92.66035091
4,2010,2010/4/22,18207,37.71126761,10421,24.77592069,19262,42.9514338,15601,38.77951777,38532,93.12194886
5,2010,2010/4/23,24653,51.06255178,12885,30.63407908,22008,49.07461089,11391,28.31469053,38564,93.19928464
6,2010,2010/4/24,25253,52.3053024,10564,25.11590309,19900,44.37408019,14969,37.20855083,38544,93.15094978
7,2010,2010/4/25,28274,58.56255178,14124,33.57980077,25595,57.07309459,13206,32.82624907,38985,94.21673353
8,2010,2010/5/3,21208,43.92709196,12619,30.00166425,31725,70.74209517,15930,39.59731544,39044,94.35932138
9,2010,2010/5/4,17517,36.28210439,10117,24.05316089,31042,69.21910538,11803,29.33880189,38810,93.79380347
10,2010,2010/5/5,21255,44.02444076,10387,24.69508571,25603,57.09093342,28361,70.49714144,38728,93.59563053
11,2010,2010/5/6,20106,41.64457332,12563,29.86852429,27376,61.04446327,27816,69.14243102,39020,94.30131954
12,2010,2010/5/7,20072,41.57415079,18428,43.81255795,28514,63.5820363,22192,55.16281382,39037,94.34240418
13,2010,2010/5/8,24945,51.66735708,16980,40.3699389,31130,69.41533247,13922,34.60601541,38489,93.0180289
14,2010,2010/5/9,23850,49.3993372,10916,25.95278286,31732,70.75770414,24807,61.66293811,38608,93.30562134
15,2010,2010/5/19,23271,48.20008285,13953,33.17324838,40742,90.84868216,20907,51.96868009,38863,93.92189086
16,2010,2010/5/20,23515,48.7054681,23028,54.74905494,28155,62.78151898,21876,54.37733035,38641,93.38537387
17,2010,2010/5/21,20652,42.77547639,25531,60.69993581,40210,89.66240021,12796,31.80710912,38764,93.68263328
18,2010,2010/5/22,28462,58.95194698,21044,50.03209624,39750,88.63666771,14722,36.59458116,38895,93.99922664
19,2010,2010/5/23,28298,58.61226181,10166,24.16965835,32510,72.49252999,24651,61.27516779,38737,93.61738122
