x,year,date,BAL,BAL.per,BOS,BOS.per,NYY,NYY.per,TBR,TBR.per,TOR,TOR.per
1,2010,2010/4/11,22499,46.12813942,37084,96.2221069,49293,99.14916727,31253,84.52925108,46321,99.22455712
2,2010,2010/4/12,9129,18.71655561,37022,96.06123508,42372,85.22809558,23870,64.56062532,12167,26.0630208
3,2010,2010/4/13,13731,28.15171707,37143,96.3751946,42145,84.77150213,23250,62.88372596,10610,22.72775957
4,2010,2010/4/14,10248,21.01076371,37609,97.58432797,44963,90.43969748,10825,29.27812187,10744,23.01480196
5,2010,2010/4/27,20536,42.10353665,37614,97.5973015,44121,88.74607772,10691,28.91569524,14779,31.65820534
6,2010,2010/4/28,17248,35.36237827,37518,97.34820965,44783,90.077641,12766,34.52789874,17187,36.81639997
7,2010,2010/4/29,26439,54.20604818,37417,97.08614427,45265,91.0471478,25195,68.14432153,14246,30.5164621
8,2010,2010/4/30,30668,62.8764736,37367,96.95640893,45303,91.12358195,34813,94.15789901,10314,22.09369578
9,2010,2010/5/2,34255,70.23065095,38017,98.64296834,41571,83.61694424,19757,53.43629135,10565,22.63136474
10,2010,2010/5/11,12614,25.86160943,37102,96.26881162,43260,87.01424089,27856,75.34146539,15577,33.36760705
11,2010,2010/5/12,11448,23.47104049,37404,97.05241308,43425,87.346126,23627,63.90338896,13847,29.66176124
12,2010,2010/5/13,20938,42.92772937,37411,97.07057602,45195,90.90634806,23005,62.22108025,14776,31.65177902
13,2010,2010/5/14,25902,53.10507432,37601,97.56357032,46347,93.22350953,18879,51.06158548,15276,32.72283272
14,2010,2010/5/15,29545,60.57406458,37639,97.66216917,46628,93.78871993,17093,46.23103346,10721,22.96553349
15,2010,2010/5/17,9299,19.06509482,37898,98.33419824,48271,97.09349103,21430,57.96121494,13951,29.88454041
16,2010,2010/5/18,9715,19.91799077,37138,96.36222107,47734,96.01335586,24310,65.75068293,14725,31.54253154
17,2010,2010/5/25,14686,30.10968734,37618,97.60768033,43283,87.06050366,22147,59.90046791,16020,34.31656063
18,2010,2010/5/26,19153,39.26806766,37332,96.86559419,45483,91.48563843,13299,35.96949125,15945,34.15590258
19,2010,2010/5/27,26279,53.87801128,37609,97.58432797,44634,89.77793869,20650,55.85156736,25518,54.66229677
20,2010,2010/6/4,30070,61.65043567,37198,96.51790348,46599,93.73038861,33558,90.76353014,13892,29.75815607
21,2010,2010/6/5,40001,82.01127627,37426,97.10949663,45706,91.93418618,26878,72.69629189,27981,59.93830731
22,2010,2010/6/6,27774,56.9431061,38144,98.97249611,44976,90.46584601,12937,34.9903984,16360,35.04487715
23,2010,2010/6/8,23171,47.50589441,37940,98.44317592,43059,86.60994448,15886,42.96648906,15878,34.01238138
24,2010,2010/6/9,16451,33.72834444,37945,98.45614946,44465,89.43800788,13675,36.98644957,11335,24.28078744
25,2010,2010/6/11,28554,58.54228601,37956,98.48469123,44927,90.36728619,19338,52.30303194,13439,28.78778142
26,2010,2010/6/12,42248,86.61814454,37337,96.87856772,46883,94.30163328,29963,81.04021854,13517,28.9548658
27,2010,2010/6/13,24848,50.94413121,37783,98.03580695,46159,92.84536165,25442,68.8123766,30089,64.45386972
28,2010,2010/6/22,14821,30.38646848,37386,97.00570835,46832,94.19905061,14650,39.62350905,37165,79.61142172
29,2010,2010/6/23,13720,28.12916453,38021,98.65334717,47135,94.80851235,15809,42.75822898,33622,72.02193518
30,2010,2010/6/24,15397,31.56740133,37230,96.60093409,47414,95.3696999,21877,59.17020528,18667,39.98671893
31,2010,2010/6/25,43484,89.15222963,37459,97.19512195,47204,94.94730067,18918,51.16706786,20666,44.26879164
32,2010,2010/6/26,28635,58.70835469,37452,97.176959,49220,99.00233325,23945,64.76347605,21431,45.9075038
