x,year,date,HOU,HOU.per,LAA,LAA.per,OAK,OAK.per,SEA,SEA.per,TEX,TEX.per
1,2010,2010/4/11,28619,67.06582617,40249,90.32337694,17382,48.19363962,45876,99.67193169,26846,54.15338686
2,2010,2010/4/20,24135,56.55801092,40601,91.11330536,12225,33.89525051,18043,39.20090382,26445,53.3444951
3,2010,2010/4/21,22607,52.97729243,36006,80.80159781,15072,41.78889289,15978,34.71440676,31211,62.95840562
4,2010,2010/4/22,21802,51.0908537,35266,79.14095285,14451,40.06709735,39999,86.90333934,16381,33.04353088
5,2010,2010/4/23,30018,70.34424578,35279,79.17012634,19849,55.0336873,31647,68.75746844,14589,29.4287328
6,2010,2010/4/25,27210,63.76397254,37338,83.79075874,30211,83.76355117,30419,66.08946922,20432,41.2151531
7,2010,2010/4/27,22467,52.64921613,44002,98.74553982,21986,60.95877118,14528,31.56408195,17778,35.86154032
8,2010,2010/4/28,21035,49.29346425,43390,97.37214156,11547,32.01541575,15931,34.61229278,15132,30.52406503
9,2010,2010/4/29,21493,50.36674244,42284,94.89015058,15873,44.00975961,18401,39.97870815,29065,58.62952354
10,2010,2010/5/4,22661,53.10383615,34837,78.1782276,16946,46.98477833,30225,65.66797749,36349,73.32270948
11,2010,2010/5/5,21030,49.28174724,39619,88.90958461,8874,24.60420883,27185,59.06315858,25476,51.38984145
12,2010,2010/5/6,21019,49.25596982,34190,76.72628532,15403,42.70662933,15589,33.86925066,15474,31.21394279
13,2010,2010/5/7,25586,59.95828744,36798,82.57893674,19193,53.21485014,14627,31.77917309,27507,55.48674709
14,2010,2010/5/8,27038,63.36090737,39007,87.53618635,15493,42.95616492,17617,38.27536011,20210,40.76733772
15,2010,2010/5/19,25200,59.05373421,35700,80.11489868,12228,33.90356836,37602,81.69552654,22358,45.10025417
16,2010,2010/5/20,25932,60.76910459,41290,92.65950046,10051,27.86757978,30446,66.14813045,22321,45.02561827
17,2010,2010/5/21,27601,64.68024278,41569,93.28560849,10512,29.14575651,28668,62.28518044,17304,34.90539396
18,2010,2010/5/22,33778,79.15543786,35826,80.39765714,19284,53.46715834,19208,41.73202685,38943,78.55529108
19,2010,2010/5/23,28801,67.49232536,43174,96.88741276,24146,66.94762525,20452,44.43478828,46180,93.15366926
20,2010,2010/5/31,34704,81.32542826,34504,77.43093737,33369,92.51947764,24139,52.44530384,37777,76.2032517
21,2010,2010/6/1,25249,59.16856092,41770,93.73667557,35067,97.22738237,28670,62.28952571,36245,73.1129221
22,2010,2010/6/2,26736,62.65319992,39382,88.3777294,35067,97.22738237,33315,72.38142829,26932,54.32686489
23,2010,2010/6/3,21814,51.11897453,40017,89.80274231,21703,60.17412039,20920,45.45158277,20152,40.6503409
24,2010,2010/6/4,28784,67.45248752,39289,88.16902673,16421,45.52915407,22422,48.71488474,18774,37.87065801
25,2010,2010/6/5,34241,80.24043306,37484,84.1183995,20059,55.61593701,19795,43.00736524,26432,53.31827167
26,2010,2010/6/6,29493,69.11395965,37416,83.96579969,10071,27.92303213,18740,40.71523236,19674,39.68612579
27,2010,2010/6/18,33951,79.56084644,41595,93.34395548,11860,32.88324507,20414,44.35222804,23083,46.56271433
28,2010,2010/6/19,41060,96.22009233,41001,92.01095128,18285,50.69731333,21291,46.25763139,33646,67.87025457
29,2010,2010/6/20,33753,79.09685281,44043,98.83754853,12328,34.18083012,29230,63.50620288,19567,39.47028684
30,2010,2010/6/22,29777,69.77948586,37228,83.54390611,11088,30.74278426,31548,68.5423773,43457,87.66087062
31,2010,2010/6/23,29311,68.68746046,39225,88.02540338,12136,33.64848754,33076,71.86216786,37487,75.61826764
32,2010,2010/6/24,26662,62.47978816,37314,83.73689998,20824,57.73698949,43362,94.20992026,30193,60.90490983
33,2010,2010/7/6,23210,54.39036393,38514,86.42983775,11154,30.92577703,26468,57.50537728,25986,52.41860653
34,2010,2010/7/7,23123,54.18648794,41162,92.37225376,25068,69.50397871,32712,71.0713277,45020,90.81373301
35,2010,2010/7/8,24416,57.21650692,40005,89.77581293,15238,42.24914742,27975,60.77954244,25165,50.76249647
36,2010,2010/7/9,33224,77.85719307,39112,87.77181841,27405,75.9835861,31394,68.20779108,20428,41.20708436
37,2010,2010/7/10,37518,87.91976191,42116,94.51313929,20473,56.7638007,41329,89.79294762,24427,49.27381289
38,2010,2010/7/11,32975,77.27368594,41959,94.16081327,31518,87.38736241,22617,49.13854911,16240,32.7591076
39,2010,2010/7/23,30575,71.64952077,41449,93.01631471,13156,36.47655752,17555,38.14065657,24216,48.84818655
40,2010,2010/7/24,31552,73.93902468,42977,96.44532214,30035,83.27557047,16954,36.83490125,41093,82.8922419
41,2010,2010/7/25,25705,60.2371523,38883,87.25791611,15164,42.04397372,37432,81.32617811,24566,49.5542018
42,2010,2010/7/26,25037,58.67175966,40364,90.58145015,19341,53.62519755,42558,92.46311947,39876,80.43732602
43,2010,2010/7/27,28047,65.72540014,40120,90.03388613,20271,56.20373194,42069,91.40069959,46554,93.90809699
44,2010,2010/7/28,28046,65.72305673,43024,96.55079554,30456,84.44284249,21749,47.2526995,47098,95.0054464
45,2010,2010/7/30,27456,64.34044946,41011,92.03339243,15103,41.87484404,21366,46.42057923,28124,56.73135111
46,2010,2010/7/31,38824,90.98024512,41019,92.05134535,17439,48.35167882,21529,46.77471919,38269,77.19570743
47,2010,2010/8/1,27964,65.53089776,40011,89.78927762,17148,47.54484709,28074,60.99463358,28793,58.08084883
48,2010,2010/8/10,34155,80.03890048,39093,87.72918022,10047,27.85648931,34932,75.89458361,46121,93.03465526
49,2010,2010/8/11,31352,73.47034425,40606,91.12452593,10670,29.58383009,43694,94.93123601,48676,98.18856659
50,2010,2010/8/13,36124,84.65305931,42059,94.38522475,22325,61.89868855,40001,86.90768462,47195,95.20111349
51,2010,2010/8/14,31608,74.0702552,38138,85.58605058,26388,73.16383398,23466,50.9831186,48030,96.88546415
52,2010,2010/8/15,34372,80.54741874,39127,87.80548013,16104,44.65023429,20174,43.83079497,30252,61.02392383
53,2010,2010/8/16,22688,53.16710801,43577,97.79179103,18050,50.04574819,22624,49.15375758,22757,45.90511155
54,2010,2010/8/17,26279,61.58226513,37009,83.05244496,10136,28.10325228,20411,44.34571013,20107,40.55956752
55,2010,2010/8/18,23403,54.84264055,41037,92.09173941,13237,36.70113955,24520,53.27307885,29926,60.36632106
56,2010,2010/8/19,26271,61.56351792,43127,96.78193936,18046,50.03465772,24078,52.31277294,24738,49.90115787
57,2010,2010/8/30,23140,54.22632578,38232,85.79699737,10118,28.05334516,19943,43.32891564,34962,70.52487191
58,2010,2010/8/31,29307,68.67808685,39107,87.76059783,13207,36.61796102,21377,46.44447824,47411,95.63682576
59,2010,2010/9/1,22068,51.71419867,38619,86.66546981,16202,44.92195081,31560,68.56844895,37188,75.0151289
60,2010,2010/9/9,28081,65.80507581,37857,84.95545432,18749,51.98380791,37798,82.12136355,46179,93.15165208
61,2010,2010/9/10,31010,72.66890071,42203,94.70837728,23401,64.88202512,29892,64.9444891,49210,99.26574414
62,2010,2010/9/11,39237,91.94807021,39123,87.79650367,14227,39.446031,28923,62.83920308,42007,84.7359503
63,2010,2010/9/12,30240,70.86448105,42357,95.05397096,16413,45.50697313,20545,44.63684359,24452,49.32424255
64,2010,2010/9/13,31342,73.44691022,41404,92.91532955,11581,32.10968475,18737,40.70871445,34964,70.52890628
65,2010,2010/9/14,33878,79.38977808,41707,93.59529634,10067,27.91194166,17515,38.05375106,29381,59.26695445
66,2010,2010/9/15,30791,72.15569564,41222,92.50690065,15180,42.0883356,17269,37.51928216,26043,52.53358615
67,2010,2010/9/17,30218,70.81292621,41046,92.11193645,19139,53.06512879,17271,37.52362744,23052,46.50018155
68,2010,2010/9/18,29855,69.96227123,40758,91.46563138,22932,63.58166745,25108,54.55058987,33228,67.02707064
69,2010,2010/9/19,32520,76.20743796,42686,95.79228473,19806,54.91446475,22621,49.14723966,43149,87.0395772
70,2010,2010/10/1,33869,79.36868746,40414,90.69365589,10090,27.97571187,19063,41.41699437,45893,92.57473676
71,2010,2010/10/2,36098,84.59213086,43163,96.8627275,11158,30.9368675,18381,39.93525539,45446,91.67305442
72,2010,2010/10/3,31105,72.89152391,39199,87.96705639,16056,44.51714864,21936,47.65898277,25049,50.52850284
73,2011,2011/4/8,41042,96.17791109,43853,98.41116672,10815,29.98585965,19302,41.93625481,30799,62.12732481
74,2011,2011/4/9,25421,59.57162609,43525,97.67509706,13539,37.53847007,20843,45.28428966,22450,45.28583532
75,2011,2011/4/10,22299,52.25552457,43529,97.68407352,20136,55.82942856,20764,45.11265127,31967,64.48339856
