x,year,date,ATL,ATL.per,MIA,MIA.per,NYM,NYM.per,PHI,PHI.per,WSN,WSN.per
11096,2010,2010/4/16,27692,51.00191543,25308,67.70284369,27940,65.71643617,44791,97.39502925,17234,38.56775204
11111,2010,2010/4/17,32602,60.04493885,10119,27.06990182,27502,64.68623577,45438,98.80188741,18673,41.78807206
11124,2010,2010/4/18,26546,48.89126271,10681,28.5733394,25684,60.41019851,45245,98.38222184,18789,42.047667
11146,2010,2010/4/20,18032,33.21054958,14390,38.49549236,28535,67.1159093,45305,98.51268782,11623,26.01096565
11164,2010,2010/4/21,21171,38.9918226,12912,34.54161205,32265,75.88907705,45405,98.73013112,15037,33.65111335
11177,2010,2010/4/22,22476,41.39531457,10924,29.22340226,36547,85.96057955,45296,98.49311792,11191,25.04419828
11273,2010,2010/4/30,30082,55.40371298,11613,31.06658463,27623,64.97083451,45264,98.42353606,15518,34.7275372
11284,2010,2010/5/1,27035,49.79188154,16310,43.63179155,24112,56.71276696,45439,98.80406184,18039,40.36925143
11299,2010,2010/5/2,25665,47.26867541,20856,55.79304995,32012,75.29400696,44890,97.61029811,18395,41.16593935
11446,2010,2010/5/14,30657,56.46272285,34886,93.32548621,34681,81.57164362,44261,96.24257975,17098,38.26339935
11459,2010,2010/5/15,32718,60.25858258,13169,35.2291271,36764,86.47097563,44831,97.48200657,15616,34.94685017
11473,2010,2010/5/16,31758,58.49049654,13690,36.62288328,35641,83.82961709,45349,98.60836287,17131,38.33724964
11487,2010,2010/5/17,21086,38.83527332,11633,31.12008775,29313,68.94580864,45193,98.26915132,20161,45.11804856
11498,2010,2010/5/18,27119,49.94658907,12804,34.25269522,31606,74.33907235,45371,98.6562004,21299,47.66476446
11514,2010,2010/5/19,25347,46.68299691,16229,43.41510393,33024,77.67428733,45007,97.86470678,23612,52.8409981
11526,2010,2010/5/20,21621,39.82061294,21221,56.76948182,41343,97.24103867,45140,98.15390637,27378,61.26888218
11627,2010,2010/5/28,23442,43.17445116,26007,69.57277761,41422,97.42685107,45325,98.55617648,30290,67.78561038
11639,2010,2010/5/29,29134,53.65772801,17977,48.09127632,33026,77.67899144,45341,98.59096741,27535,61.6202305
11652,2010,2010/5/30,31078,57.23810225,10870,29.07894385,33223,78.14234641,45310,98.52355998,33774,75.5824102
11672,2010,2010/5/31,42543,78.35383822,11434,30.58773174,35903,84.44585568,45068,97.99734719,22896,51.23867069
11684,2010,2010/6/1,29731,54.75725652,15238,40.7640245,30042,70.66045724,45080,98.02344039,27202,60.87501399
11697,2010,2010/6/2,26309,48.45476647,11381,30.44594848,37165,87.41414997,45353,98.6170606,21767,48.71209578
11857,2010,2010/6/15,30448,56.07779579,15276,40.86568043,36612,86.11346317,44852,97.52766966,40325,90.24281079
