x,year,date,ARI,ARI_per,COL,COL_per,LAD,LAD_per,SDP,SDP_per,SFG,SFG_per
1,2010,2010/4/10,22400,45.64349173,39576,80.32311096,56000,100,42843,96.41506886,28030,65.30450585
19,2010,2010/4/19,24167,49.24402967,25110,50.96304114,44621,79.68035714,24969,56.19092628,29028,67.62965379
21,2010,2010/4/20,19855,40.45765751,26310,53.39855087,39697,70.8875,16356,36.80799352,42860,99.85555193
23,2010,2010/4/21,19165,39.05167495,26195,53.16514786,49319,88.06964286,26632,59.93338734,41785,97.35100881
24,2010,2010/4/23,25980,52.93829978,31560,64.05390595,44734,79.88214286,17087,38.45305608,40230,93.72815805
29,2010,2010/4/25,29296,59.69516668,33323,67.63207566,50433,90.05892857,17822,40.10712035,30035,69.97577
52,2010,2010/5/7,27067,55.15323172,35883,72.82782976,40185,71.75892857,14906,33.54487353,31792,74.06924188
54,2010,2010/5/8,26877,54.7660771,20308,41.21694303,46775,83.52678571,16696,37.5731389,32369,75.41354084
56,2010,2010/5/9,25358,51.67087782,24112,48.93750888,39339,70.24821429,29366,66.08605635,37144,86.53837193
58,2010,2010/5/10,19863,40.47395876,23773,48.24947738,50714,90.56071429,25619,57.6537042,33249,77.46377149
60,2010,2010/5/11,21030,42.85190317,30403,61.70566865,35659,63.67678571,20074,45.17508327,30924,72.04696892
62,2010,2010/5/12,22714,46.28331567,23475,47.64465913,38456,68.67142857,15052,33.87343595,32861,76.55980616
78,2010,2010/5/19,17073,34.78889885,20795,42.20535406,40567,72.44107143,16329,36.74723197,38650,90.04706211
80,2010,2010/5/20,18607,37.91466297,29111,59.0834365,42287,75.5125,17121,38.52957062,40060,93.33209077
82,2010,2010/5/21,19531,39.79745701,35258,71.55933511,40718,72.71071429,42436,95.49914484,40582,94.54825031
84,2010,2010/5/22,32746,66.72507947,28370,57.57950924,35282,63.00357143,42327,95.25384823,27981,65.19034528
86,2010,2010/5/23,23148,47.16765833,26320,53.41884679,55662,99.39642857,20558,46.26429022,30230,70.43008248
114,2010,2010/6/4,25290,51.53231722,28353,57.54500619,40138,71.675,19565,44.02961563,28251,65.81939332
116,2010,2010/6/5,28138,57.33556117,40162,81.51245154,38856,69.38571429,18236,41.03879737,31495,73.37728904
118,2010,2010/6/6,20793,42.36897873,43261,87.80215543,44282,79.075,19752,44.45044558,37400,87.13480267
120,2010,2010/6/7,17731,36.12967642,48682,98.80457064,45117,80.56607143,23468,52.81303448,41394,96.44005405
122,2010,2010/6/8,17052,34.74610808,28251,57.33798786,46053,82.2375,28591,64.34197498,42465,98.93527795
125,2010,2010/6/9,19138,38.99665824,26201,53.1773254,45325,80.9375,20023,45.06031146,31198,72.68533619
128,2010,2010/6/10,26969,54.95354145,27114,55.03034239,36533,65.2375,17393,39.14168692,30697,71.5181026
131,2010,2010/6/11,20629,42.03480316,28329,57.496296,35355,63.13392857,15880,35.73678999,41817,97.42556265
136,2010,2010/6/12,30017,61.16431657,31101,63.12232348,35333,63.09464286,20049,45.11882258,36861,85.87903639
141,2010,2010/6/13,23922,48.74480398,26304,53.38637332,42459,75.81964286,30019,67.55558556,39187,91.29816877
155,2010,2010/6/21,47229,96.23644959,32340,65.63698727,48207,86.08392857,23429,52.7252678,33822,78.79875122
156,2010,2010/6/22,45776,93.27573559,39192,79.54374784,37944,67.75714286,16542,37.22657305,38485,89.66264387
158,2010,2010/6/23,46325,94.39440867,46511,94.39832762,48046,85.79642857,15266,34.35502746,41182,95.94613485
174,2010,2010/7/2,23155,47.18192192,48112,97.64770352,43299,77.31964286,16050,36.11936268,41528,96.75224826
178,2010,2010/7/3,44169,90.00122259,48243,97.91358,52407,93.58392857,25167,56.63651094,34626,80.6719165
181,2010,2010/7/4,26517,54.03252099,48582,98.6016115,52806,94.29642857,28138,63.32253128,35289,82.21657891
