Date,away_team,home_team
2015/4/6,Toronto,NY Yankees
2015/4/6,Minnesota,Detroit
2015/4/6,Colorado,Milwaukee
2015/4/6,Boston,Philadelphia
2015/4/6,Baltimore,Tampa Bay
2015/4/6,NY Mets,Washington
2015/4/6,Chicago White Sox,Kansas City
2015/4/6,LA Angels,Seattle
2015/4/6,Pittsburgh,Cincinnati
2015/4/6,San Diego,LA Dodgers
2015/4/6,Atlanta,Miami
2015/4/6,Cleveland,Houston
2015/4/6,San Francisco,Arizona
2015/4/6,Texas,Oakland
2015/4/7,Atlanta,Miami
2015/4/7,Baltimore,Tampa Bay
2015/4/7,St. Louis,Chicago Cubs
2015/4/7,Colorado,Milwaukee
2015/4/7,San Francisco,Arizona
2015/4/7,Texas,Oakland
2015/4/7,LA Angels,Seattle
2015/4/7,San Diego,LA Dodgers
2015/4/8,Minnesota,Detroit
2015/4/8,St. Louis,Chicago Cubs
2015/4/8,Boston,Philadelphia
2015/4/8,Toronto,NY Yankees
2015/4/8,NY Mets,Washington
2015/4/8,Pittsburgh,Cincinnati
2015/4/8,Atlanta,Miami
2015/4/8,Baltimore,Tampa Bay
2015/4/8,Chicago White Sox,Kansas City
2015/4/8,Colorado,Milwaukee
2015/4/8,Cleveland,Houston
2015/4/8,San Francisco,Arizona
2015/4/8,San Diego,LA Dodgers
2015/4/8,Texas,Oakland
2015/4/8,LA Angels,Seattle
2015/4/9,Pittsburgh,Cincinnati
2015/4/9,NY Mets,Washington
2015/4/9,Minnesota,Detroit
2015/4/9,Chicago White Sox,Kansas City
2015/4/9,Texas,Oakland
2015/4/9,San Francisco,San Diego
2015/4/9,Toronto,NY Yankees
2015/4/9,Boston,Philadelphia
2015/4/9,Cleveland,Houston
2015/4/10,Toronto,Baltimore
2015/4/10,Detroit,Cleveland
2015/4/10,Houston,Texas
2015/4/10,Minnesota,Chicago White Sox
2015/4/10,Chicago Cubs,Colorado
2015/4/10,Boston,NY Yankees
2015/4/10,Washington,Philadelphia
2015/4/10,St. Louis,Cincinnati
2015/4/10,Tampa Bay,Miami
2015/4/10,NY Mets,Atlanta
2015/4/10,Pittsburgh,Milwaukee
2015/4/10,LA Dodgers,Arizona
2015/4/10,Kansas City,LA Angels
2015/4/10,Seattle,Oakland
2015/4/10,San Francisco,San Diego
2015/4/11,Boston,NY Yankees
2015/4/11,St. Louis,Cincinnati
2015/4/11,Minnesota,Chicago White Sox
2015/4/11,Detroit,Cleveland
2015/4/11,Seattle,Oakland
2015/4/11,Tampa Bay,Miami
2015/4/11,Toronto,Baltimore
2015/4/11,Washington,Philadelphia
2015/4/11,Pittsburgh,Milwaukee
2015/4/11,NY Mets,Atlanta
2015/4/11,Houston,Texas
2015/4/11,Chicago Cubs,Colorado
2015/4/11,LA Dodgers,Arizona
2015/4/11,San Francisco,San Diego
2015/4/11,Kansas City,LA Angels
2015/4/12,Detroit,Cleveland
2015/4/12,St. Louis,Cincinnati
2015/4/12,Tampa Bay,Miami
2015/4/12,Toronto,Baltimore
2015/4/12,NY Mets,Atlanta
2015/4/12,Washington,Philadelphia
2015/4/12,Minnesota,Chicago White Sox
2015/4/12,Pittsburgh,Milwaukee
2015/4/12,Houston,Texas
2015/4/12,Kansas City,LA Angels
2015/4/12,Seattle,Oakland
2015/4/12,San Francisco,San Diego
2015/4/12,Chicago Cubs,Colorado
2015/4/12,LA Dodgers,Arizona
2015/4/12,Boston,NY Yankees
2015/4/13,Philadelphia,NY Mets
2015/4/13,Detroit,Pittsburgh
2015/4/13,Washington,Boston
2015/4/13,Kansas City,Minnesota
2015/4/13,Milwaukee,St. Louis
2015/4/13,Colorado,San Francisco
2015/4/13,NY Yankees,Baltimore
2015/4/13,Tampa Bay,Toronto
2015/4/13,Miami,Atlanta
2015/4/13,LA Angels,Texas
2015/4/13,Cincinnati,Chicago Cubs
2015/4/13,Oakland,Houston
2015/4/13,Seattle,LA Dodgers
2015/4/13,Arizona,San Diego
2015/4/14,Washington,Boston
2015/4/14,NY Yankees,Baltimore
2015/4/14,Chicago White Sox,Cleveland
2015/4/14,Detroit,Pittsburgh
2015/4/14,Tampa Bay,Toronto
2015/4/14,Miami,Atlanta
2015/4/14,Philadelphia,NY Mets
2015/4/14,LA Angels,Texas
2015/4/14,Cincinnati,Chicago Cubs
2015/4/14,Oakland,Houston
2015/4/14,Seattle,LA Dodgers
2015/4/14,Arizona,San Diego
2015/4/14,Colorado,San Francisco
2015/4/15,Chicago White Sox,Cleveland
2015/4/15,Miami,Atlanta
2015/4/15,Washington,Boston
2015/4/15,LA Angels,Texas
2015/4/15,NY Yankees,Baltimore
2015/4/15,Detroit,Pittsburgh
2015/4/15,Tampa Bay,Toronto
2015/4/15,Philadelphia,NY Mets
2015/4/15,Cincinnati,Chicago Cubs
2015/4/15,Kansas City,Minnesota
2015/4/15,Oakland,Houston
2015/4/15,Milwaukee,St. Louis
2015/4/15,Arizona,San Diego
2015/4/15,Seattle,LA Dodgers
2015/4/15,Colorado,San Francisco
2015/4/16,Kansas City,Minnesota
2015/4/16,Milwaukee,St. Louis
2015/4/16,Philadelphia,Washington
2015/4/16,Tampa Bay,Toronto
2015/4/16,Miami,NY Mets
2015/4/16,Arizona,San Francisco
2015/4/17,Chicago White Sox,Detroit
2015/4/17,San Diego,Chicago Cubs
2015/4/17,Philadelphia,Washington
2015/4/17,Milwaukee,Pittsburgh
2015/4/17,Atlanta,Toronto
2015/4/17,Baltimore,Boston
2015/4/17,Miami,NY Mets
2015/4/17,NY Yankees,Tampa Bay
2015/4/17,Oakland,Kansas City
2015/4/17,Cleveland,Minnesota
2015/4/17,LA Angels,Houston
2015/4/17,Cincinnati,St. Louis
2015/4/17,Texas,Seattle
2015/4/17,Colorado,LA Dodgers
2015/4/17,Arizona,San Francisco
2015/4/18,Philadelphia,Washington
2015/4/18,Atlanta,Toronto
2015/4/18,Chicago White Sox,Detroit
2015/4/18,Cleveland,Minnesota
2015/4/18,Cincinnati,St. Louis
2015/4/18,San Diego,Chicago Cubs
2015/4/18,Baltimore,Boston
2015/4/18,Milwaukee,Pittsburgh
2015/4/18,Oakland,Kansas City
2015/4/18,LA Angels,Houston
2015/4/18,Miami,NY Mets
2015/4/18,NY Yankees,Tampa Bay
2015/4/18,Arizona,San Francisco
2015/4/18,Texas,Seattle
2015/4/18,Colorado,LA Dodgers
2015/4/19,Atlanta,Toronto
2015/4/19,Chicago White Sox,Detroit
2015/4/19,Miami,NY Mets
2015/4/19,NY Yankees,Tampa Bay
2015/4/19,Baltimore,Boston
2015/4/19,Philadelphia,Washington
2015/4/19,Milwaukee,Pittsburgh
2015/4/19,Oakland,Kansas City
2015/4/19,Cleveland,Minnesota
2015/4/19,LA Angels,Houston
2015/4/19,San Diego,Chicago Cubs
2015/4/19,Arizona,San Francisco
2015/4/19,Texas,Seattle
2015/4/19,Colorado,LA Dodgers
2015/4/19,Cincinnati,St. Louis
2015/4/20,Baltimore,Boston
2015/4/20,Chicago Cubs,Pittsburgh
2015/4/20,NY Yankees,Detroit
2015/4/20,Cincinnati,Milwaukee
2015/4/20,Cleveland,Chicago White Sox
2015/4/20,Minnesota,Kansas City
2015/4/20,San Diego,Colorado
2015/4/20,Oakland,LA Angels
2015/4/20,Houston,Seattle
2015/4/21,St. Louis,Washington
2015/4/21,Miami,Philadelphia
2015/4/21,Chicago Cubs,Pittsburgh
2015/4/21,Baltimore,Toronto
2015/4/21,NY Yankees,Detroit
2015/4/21,Atlanta,NY Mets
2015/4/21,Boston,Tampa Bay
2015/4/21,Cleveland,Chicago White Sox
2015/4/21,Minnesota,Kansas City
2015/4/21,Cincinnati,Milwaukee
2015/4/21,San Diego,Colorado
2015/4/21,Texas,Arizona
2015/4/21,Oakland,LA Angels
2015/4/21,Houston,Seattle
2015/4/21,LA Dodgers,San Francisco
2015/4/22,Cleveland,Chicago White Sox
2015/4/22,St. Louis,Washington
2015/4/22,Miami,Philadelphia
2015/4/22,Chicago Cubs,Pittsburgh
2015/4/22,Baltimore,Toronto
2015/4/22,NY Yankees,Detroit
2015/4/22,Atlanta,NY Mets
2015/4/22,Boston,Tampa Bay
2015/4/22,Minnesota,Kansas City
2015/4/22,Cincinnati,Milwaukee
2015/4/22,San Diego,Colorado
2015/4/22,Texas,Arizona
2015/4/22,Oakland,LA Angels
2015/4/22,Houston,Seattle
2015/4/22,LA Dodgers,San Francisco
2015/4/23,Chicago Cubs,Pittsburgh
2015/4/23,Miami,Philadelphia
2015/4/23,NY Yankees,Detroit
2015/4/23,Atlanta,NY Mets
2015/4/23,Cincinnati,Milwaukee
2015/4/23,San Diego,Colorado
2015/4/23,LA Dodgers,San Francisco
2015/4/23,St. Louis,Washington
2015/4/23,Oakland,LA Angels
2015/4/23,Baltimore,Toronto
2015/4/23,Boston,Tampa Bay
2015/4/23,Kansas City,Chicago White Sox
2015/4/24,Boston,Baltimore
2015/4/24,NY Mets,NY Yankees
2015/4/24,Atlanta,Philadelphia
